Site Name,Sub-site,Habitat Type ,Habitat Type Area (acres),Year post-completion,Year,Date Details,Metrics,Values,Units,Metric Groups,Metric Type,Collection Method,Data Collection Frequency,Restoration Goal Met? (Y/N),Metric Significance,Analyzed by who?,Notes
San Dieguito,NA,Tidal Wetland,150,1,2012,NA,Bird Density,17,Mean number ha^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
Tijuana Estuary,Reference Site,NA,NA,NA,2012,NA,Bird Density,10,Mean number ha^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
Mugu Lagoon,Reference Site,NA,NA,NA,2012,NA,Bird Density,52,Mean number ha^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
Carpinteria Salt Marsh,Reference Site,NA,NA,NA,2012,NA,Bird Density,8,Mean number ha^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
San Dieguito,NA,Tidal Wetland,150,1,2012,NA,Bird Species Richness,3.8,Mean number of species ha-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
Tijuana Estuary,Reference Site,NA,NA,NA,2012,NA,Bird Species Richness,3,Mean number of species ha-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
Mugu Lagoon,Reference Site,NA,NA,NA,2012,NA,Bird Species Richness,2.9,Mean number of species ha-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
Carpinteria Salt Marsh,Reference Site,NA,NA,NA,2012,NA,Bird Species Richness,2.1,Mean number of species ha-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
San Dieguito,NA,Tidal Wetland,150,1,2012,NA,Food Chain Support,3,Mean number of feeding birds ha^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,Y,Relative,VW,Some of these goals seem kind of subjective
Tijuana Estuary,Reference Site,NA,NA,NA,2012,NA,Food Chain Support,3,Mean number of feeding birds ha^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
Mugu Lagoon,Reference Site,NA,NA,NA,2012,NA,Food Chain Support,21,Mean number of feeding birds ha^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
Carpinteria Salt Marsh,Reference Site,NA,NA,NA,2012,NA,Food Chain Support,1,Mean number of feeding birds ha^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
San Dieguito,NA,Tidal Wetland,150,2,2013,NA,Bird Density,11,Mean number ha^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,Y,Relative,VW,
Tijuana Estuary,Reference Site,NA,NA,NA,2013,NA,Bird Density,11,Mean number ha^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
Mugu Lagoon,Reference Site,NA,NA,NA,2013,NA,Bird Density,41,Mean number ha^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
Carpinteria Salt Marsh,Reference Site,NA,NA,NA,2013,NA,Bird Density,5,Mean number ha^-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
San Dieguito,NA,Tidal Wetland,150,2,2013,NA,Bird Species Richness,2.8,Mean number of species ha-1,Birds,Biological,Visual surveys in sampling plots,Triannually,Y,Relative,VW,
Tijuana Estuary,Reference Site,NA,NA,NA,2013,NA,Bird Species Richness,2.9,Mean number of species ha-1,Birds,Biological,Visual surveys in sampling plots,Triannually,NA,Relative,VW,
